CA-2016-152156,FUR-BO-10001798,261.96,2,0,41.91
CA-2016-152156,FUR-CH-10000454,731.94,3,0,219.58
CA-2016-138688,OFF-LA-10000240,14.62,2,0,6.87
US-2015-108966,FUR-TA-10000577,957.58,5,0.45,-383.03
US-2015-108966,OFF-ST-10000760,22.37,2,0.2,2.52
CA-2014-115812,FUR-FU-10001487,48.86,7,0,14.17
CA-2014-115812,OFF-AR-10002833,7.28,4,0,1.97
CA-2014-115812,TEC-PH-10002275,907.15,6,0.2,90.72
CA-2014-115812,OFF-BI-10003910,18.5,3,0.2,5.78
CA-2014-115812,OFF-AP-10002892,114.9,5,0,34.47
CA-2014-115812,FUR-TA-10001539,1706.18,9,0.2,85.31
CA-2014-115812,TEC-PH-10002033,911.42,4,0.2,68.36
CA-2017-114412,OFF-PA-10002365,15.55,3,0.2,5.44
CA-2016-161389,OFF-BI-10003656,407.98,3,0.2,132.59
US-2015-118983,OFF-AP-10002311,68.81,5,0.8,-123.86
US-2015-118983,OFF-BI-10000756,2.54,3,0.8,-3.82
CA-2014-105893,OFF-ST-10004186,665.88,6,0,13.32
CA-2014-167164,OFF-ST-10000107,55.5,2,0,9.99
CA-2014-143336,OFF-AR-10003056,8.56,2,0,2.48
CA-2014-143336,TEC-PH-10001949,213.48,3,0.2,16.01
CA-2014-143336,OFF-BI-10002215,22.72,4,0.2,7.38
CA-2016-137330,OFF-AR-10000246,19.46,7,0,5.06
CA-2016-137330,OFF-AP-10001492,60.34,7,0,15.69
US-2017-156909,FUR-CH-10002774,71.37,2,0.3,-1.02
CA-2015-106320,FUR-TA-10000577,1044.63,3,0,240.26
CA-2016-121755,OFF-BI-10001634,11.65,2,0.2,4.22
CA-2016-121755,TEC-AC-10003027,90.57,3,0,11.77
US-2015-150630,FUR-BO-10004834,3083.43,7,0.5,-1665.05
US-2015-150630,OFF-BI-10000474,9.62,2,0.7,-7.05
US-2015-150630,FUR-FU-10004848,124.2,3,0.2,15.53
US-2015-150630,OFF-EN-10001509,3.26,2,0.2,1.1
US-2015-150630,OFF-AR-10004042,86.3,6,0.2,9.71
US-2015-150630,OFF-BI-10001525,6.86,6,0.7,-5.72
US-2015-150630,OFF-AR-10001683,15.76,2,0.2,3.55
CA-2017-107727,OFF-PA-10000249,29.47,3,0.2,9.95
CA-2016-117590,TEC-PH-10004977,1097.54,7,0.2,123.47
CA-2016-117590,FUR-FU-10003664,190.92,5,0.6,-147.96
CA-2015-117415,OFF-EN-10002986,113.33,9,0.2,35.42
CA-2015-117415,FUR-BO-10002545,532.4,3,0.32,-46.98
CA-2015-117415,FUR-CH-10004218,212.06,3,0.3,-15.15
CA-2015-117415,TEC-PH-10000486,371.17,4,0.2,41.76
CA-2017-120999,TEC-PH-10004093,147.17,4,0.2,16.56
CA-2016-101343,OFF-ST-10003479,77.88,2,0,3.89
CA-2017-139619,OFF-ST-10003282,95.62,2,0.2,9.56
CA-2016-118255,TEC-AC-10000171,45.98,2,0,19.77
CA-2016-118255,OFF-BI-10003291,17.46,2,0,8.21
CA-2014-146703,OFF-ST-10001713,211.96,4,0,8.48
CA-2016-169194,TEC-AC-10002167,45,3,0,4.95
CA-2016-169194,TEC-PH-10003988,21.8,2,0,6.1
CA-2015-115742,OFF-BI-10004410,38.22,6,0,17.96
CA-2015-115742,OFF-LA-10002762,75.18,6,0,35.33
CA-2015-115742,FUR-FU-10001706,6.16,2,0,2.96
CA-2015-115742,FUR-CH-10003061,89.99,1,0,17.1
CA-2016-105816,OFF-FA-10000304,15.26,7,0,6.26
CA-2016-105816,TEC-PH-10002447,1029.95,5,0,298.69
CA-2016-111682,OFF-ST-10000604,208.56,6,0,52.14
CA-2016-111682,OFF-PA-10001569,32.4,5,0,15.55
